selected,project,is_fork,stars,forks,watchers,commits,authors,loc,locJava,authorTotal,jmhTests,jmhAuthors,score,name
NO,39794165,1,0,0,1,1204,19,35097,33017,19,1,2,80287.8972,snorrees/artemis-odb
YES,61843633,0,5,0,1,162,2,25638,377,2,1,2,4984.0272,kvnxiao/kommandant
YES,537800,0,4964,1312,383,0,0,33869,26908,0,11,4,0,dropwizard/metrics
NO,41623156,1,0,0,1,264,5,7652,7265,5,6,1,6060.384,tempbottle/netty-zmtp
YES,45287220,0,98,19,17,28,7,3339,1666,7,1,2,6478.9956,pinterest/jbender
NO,43276171,1,0,0,1,320,10,17444,16787,10,37,2,206536.96,mackstone/JCTools
NO,42869206,1,0,0,1,644,6,61011,58810,6,46,2,1084433.9184,nguyenhongson03/caffeine
YES,62321874,0,0,0,0,25,2,873,488,2,1,1,4.365,blemale/fuse
YES,43479500,0,2,3,1,3,1,674,470,1,2,1,1.2132,gpanther/regex-libraries-benchmarks
NO,50468380,1,2,0,1,1507,32,60703,58898,32,200,8,175640488.32,okrische/RoaringBitmap
NO,34465444,1,0,0,4,0,0,30494,23747,0,6,3,0,cirrus-dev/metrics
YES,70768304,0,0,0,1,73,1,103089,12219,1,18,2,13545.8946,kvr000/zbynek-java-exp
YES,28297750,0,6,0,6,24,3,10143,832,3,8,1,4089.6576,immutables/samples
NO,41419868,1,0,0,1,99,4,9112,8286,4,1,1,360.8352,shiningguang/tchannel-java
NO,39869943,1,0,0,1,1183,66,56340,50049,66,39,1,17155766.628,jordancheah/Hystrix
NO,16513449,1,0,0,1,0,0,30494,23747,0,6,3,0,ohr/metrics
NO,11252187,1,0,1,1,0,0,28319,21664,0,6,3,0,slovdahl/metrics
YES,53063296,0,0,0,1,7,3,16372,1478,3,5,1,171.906,iok1979/test
NO,5524492,1,0,0,1,3664,296,60344,49768,296,5,2,32722861.568,anonymint/dropwizard
YES,15365897,0,276,47,38,6369,5,99471,60978,5,42,1,3.685248657783e+09,jenetics/jenetics
NO,38970032,1,0,0,1,3223,246,49446,40199,246,5,2,19601828.334,akraxx/dropwizard
NO,55786759,1,0,0,1,71,5,8786,8294,5,2,1,623.806,dpolivaev/rest-schemagen
YES,50361890,0,20,33,34,0,0,25374,3531,0,2,1,0,graalvm/mx
YES,46389193,0,7,1,6,64,5,1857,1331,5,3,1,1426.176,cryptomator/siv-mode
YES,10808572,0,191,49,28,354,6,3449,2843,6,2,1,281305.9584,davidmoten/geo
NO,39135490,1,0,0,1,2712,38,134606,126048,38,27,2,37454281.0272,mp911de/hibernate-ogm
NO,58300202,1,0,0,1,574,7,24659,22469,7,5,1,49539.931,yrashk/es4j
YES,48580815,0,2,1,2,242,3,31428,30470,3,4,1,27380.0736,jayware/entity-essentials
NO,43162149,1,0,0,1,928,51,71604,65932,51,8,5,2711099.2896,wrwg/grpc-java
YES,54474313,0,21,7,7,51,2,1758,1587,2,1,1,394.4952,Vanilla-Java/Microservices
NO,40609858,1,0,0,1,2329,29,112923,105144,29,27,1,20592717.3261,ZJaffee/hibernate-ogm
NO,41586224,1,0,0,1,1053,19,74599,70630,19,3,2,447750.6579,tempbottle/commons-bcel
YES,30140191,0,0,0,1,47,3,1087,938,3,2,2,30.6534,almondtools/regexbench
NO,42970139,1,0,0,1,69,5,16028,15713,5,4,2,2211.864,dongfeng2008/Chronicle-Algorithms
YES,34108711,0,0,0,8,5,3,3245,3122,3,22,2,107.085,abstools/timsort-benchmark
NO,43431026,1,0,0,1,1245,70,59249,52906,70,50,1,25817751.75,Fsero/Hystrix
YES,27610895,0,15,29,1,70,4,4276,3552,4,2,1,3831.296,trautonen/logback-ext
NO,40247538,1,0,0,1,292,17,9138,8382,17,8,2,36288.8256,jpxiong/okio
NO,41526609,1,0,0,1,0,0,30102,23486,0,6,1,0,chenxianghua2014/metrics
YES,44986429,0,0,0,1,5,1,461,384,1,1,1,0.2305,jfaleiro/keyvalue
YES,29251147,0,0,0,1,1,1,250,44,1,3,1,0.075,fpavageau/bench-simple-name
YES,51904456,0,0,0,6,548,23,76271,68632,23,8,1,769055.7472,YUPlayGodDev/platform-external-okhttp
NO,75098707,1,0,0,1,0,0,24112,3184,0,1,1,0,blu3r4y/mx
YES,11253830,0,0,0,1,542,2,393767,71544,2,3,1,128053.0284,rslemos/cobolg
YES,62951571,0,64,4,9,116,2,72845,7458,2,16,1,1757604.16,apptik/RHub
YES,58580006,0,0,0,1,9,1,291,83,1,4,1,1.0476,asympro/CleanStringBuilderBenchmark
YES,68904966,0,37,8,5,5,1,2994,2450,1,2,1,113.772,peptos/traffic-shm
YES,90156219,0,0,0,1,85,1,2305,927,1,16,1,313.48,frankboller/watcher
NO,54226174,1,0,0,1,188,25,192049,177483,25,3,3,270789.09,DLotts/incubator-rya
YES,42907459,0,0,0,0,2,2,80634,75329,2,777,1,25061.0472,jacek-lewandowski/jmh-jl
YES,38443555,0,35,3,3,217,3,11798,10060,3,6,1,165898.7568,smoketurner/notification
YES,39764417,0,106,43,2184,448,22,18989,17526,22,3,4,6007694.2464,uber/tchannel-java
NO,89917632,1,1,0,1,9014,202,710005,522377,202,69,18,1.7840598381132e+10,gh351135612/presto
NO,41324738,1,0,0,4,5496,93,286588,212075,93,5,2,73241575.632,authbox-lib/druid
YES,54565221,0,1,0,1,77,3,14262,13733,3,1,1,658.9044,bckfnn/taggersty
YES,32682275,0,5,2,1,35,1,597,231,1,8,1,100.296,plokhotnyuk/scala-vs-java
NO,37583853,1,0,0,1,5627,60,346377,316142,60,6,3,70166281.644,AdrianCozma/gateway
YES,32373171,0,1,0,1,3,1,693,580,1,2,1,0.8316,maxdemarzi/neo-dislikes
NO,56018098,1,0,0,1,1814,97,110915,104389,97,14,1,27322934.198,piyushnarang/parquet-mr
NO,91813030,1,0,0,1,499,38,15601,14519,38,11,1,325408.7782,seven332/okio
NO,52891872,1,0,0,1,402,19,218046,203724,19,8,1,1332348.2784,MarioRose/inspectIT
YES,39886553,0,5,3,6,13,4,2945,2000,4,5,1,459.42,willhaben/blog
NO,27828474,1,0,0,1,1865,22,93478,86091,22,27,1,10355586.318,hferentschik/hibernate-ogm
NO,47071575,1,0,0,9,0,0,31004,24327,0,6,1,0,ind9/metrics
YES,17586846,0,30,7,10,217,6,31711,31395,6,36,1,4607709.7752,arnohaase/a-foundation
YES,42035185,0,4,4,3,8,1,830,650,1,64,1,212.48,CodeFX-org/lab-java8streamperformancebenchmark
YES,94224294,0,0,0,1,18,1,1626,1273,1,2,1,5.8536,snikiforov4/try-geolocation
NO,37625590,1,0,0,1,1738,86,98292,92175,86,14,1,20568112.1184,spena/parquet-mr
YES,57965833,0,0,1,6,55,5,155289,149929,5,4,2,17081.79,marcelodeolive1ra/DC-UFSCar-ES2-201601-GrupoHelloWorld
NO,42920797,1,0,0,1,388,11,61053,8054,11,5,1,130287.102,headuck/lmdbjni
YES,36025811,0,0,0,1,17,2,1943,1795,2,7,1,46.2434,bassemZohdy/SimpleUtils
YES,65738931,0,0,0,2,210,1,79047,27765,1,10,1,16599.87,alesharik/AlesharikWebServer
YES,55471410,0,0,0,1,17,3,106050,98357,3,14,1,7571.97,yulang/Modified-Parquet
YES,27930473,0,0,1,1,2,1,262,139,1,4,1,0.2096,epickrram/lock-benchmark
YES,10637893,0,75,99,21,1169,21,11213,9193,21,8,2,16736290.5696,apache/commons-csv
YES,24354819,0,0,0,1,1,1,289254,277289,1,4,1,115.7016,sungsoo/optiq-project
NO,36292142,1,0,0,1,132,11,12418,9965,11,33,1,59502.0888,willfleury/client-java
YES,29942311,0,2,3,2,8,1,8877,8784,1,13,1,276.9624,ennerf/flatbuffers-java-benchmark
NO,38808965,1,0,0,1,0,0,289945,282339,0,44,2,0,lznhust/netty
YES,19271154,0,292,30,73,1249,18,110524,107209,18,46,5,3.3490142055504e+09,JetBrains/xodus
NO,40297097,1,0,0,1,41,8,7204,7080,8,26,2,6143.5712,freezhan/java-8-lambdas-exercises
NO,33929023,1,1,0,1,0,0,277518,270155,0,41,10,0,slandelle/netty
YES,74735954,0,0,0,1,17,1,11594,11268,1,1,1,19.7098,sbwdlihao/chainj
NO,34217252,1,1,0,1,3489,107,340881,93792,107,9,10,229065691.6134,protochron/aurora
YES,9655950,0,49,17,3,21,1,893,816,1,19,1,1781.535,nitsanw/jmh-samples
NO,42376409,1,0,0,1,4278,126,111113,106759,126,114,5,682780407.0696,eduardotrandafilov/RxJava
YES,41340772,0,0,0,1,2,2,440700,327474,2,21,1,3701.88,alexingcool/presto
NO,29345960,1,0,0,1,5206,85,429710,316821,85,22,6,418332138.62,shubham166/presto
NO,53915764,1,0,0,1,9483,209,730313,542713,209,72,20,1.04215799477592e+10,chrisunder/presto
YES,50244301,0,228,35,26,738,12,213887,71514,12,4,1,173507187.7152,vsch/flexmark-java
YES,31207628,0,0,0,1,15,1,915,662,1,8,1,10.98,ruediste/salta-benchmark
YES,19695702,0,0,1,1,3,1,380,209,1,9,1,1.026,fpavageau/bench-for-name
NO,42918885,1,0,0,1,0,0,295255,287430,0,55,3,0,zhujingling/netty
NO,48035753,1,0,0,3,0,0,166071,157845,0,9,4,0,motokito/jabref
NO,82720540,1,0,0,1,417,13,72773,22854,13,110,1,4339526.763,elBroom/atom
NO,48738661,1,1,0,0,1676,42,187102,157268,42,2,1,5268193.5936,sdeleuze/reactor-core
NO,41404334,1,0,0,1,5727,106,279587,225078,106,8,2,135781314.7152,smartpcr/druid
YES,35380608,0,43,15,11,251,3,38886,37534,3,21,1,2705578.9992,paritytrading/philadelphia
NO,48582169,1,0,0,1,5193,34,211841,206081,34,1,1,3740307.0642,aslanbekirov/crate
YES,26070010,0,0,1,1,0,0,220794,214809,0,15,5,0,afredlyj/learn-netty
YES,36015462,0,8,3,20,404,2,41593,37034,2,1,1,30246.4296,Squarespace/less-compiler
NO,41554971,1,0,0,1,1124,31,23963,22742,31,2,1,166993.3544,ccortezb/servo
NO,41717586,1,0,0,1,822,47,69503,63328,47,8,5,2148143.1216,ybv/grpc-java
YES,76208074,0,10,1,5,8,2,7606,6766,2,7,1,937.0592,Devexperts/dlcheck
NO,40404005,1,0,0,1,5523,103,440251,327003,103,21,6,525934806.8499,vermaravikant/presto
NO,50422915,1,0,0,1,6700,144,533721,396519,144,27,9,1.39032185616e+09,mpilman/presto
YES,51310747,0,0,0,1,0,0,322192,313681,0,86,9,0,joansmith/netty
NO,40610545,1,0,0,1,340,19,10689,9875,19,8,1,55240.752,angcyo/okio
NO,42013015,1,0,0,0,1421,28,38596,36904,28,3,2,460697.2944,jthelin/orbit
NO,5268299,1,0,0,1,2078,53,69195,64615,53,5,4,3810361.065,johngmyers/airlift
NO,1613722,1,2,1,2,3047,40,130913,122668,40,27,4,129240979.164,Sanne/hibernate-ogm
NO,39881116,1,0,0,1,4216,121,105445,101121,121,109,4,586325066.668,suclike/RxJava
NO,32953128,1,1,0,2,0,0,305139,296452,0,87,6,0,ejona86/netty
NO,64029328,1,0,0,1,0,0,29008,22333,0,6,3,0,slachiewicz/metrics
NO,33613281,1,0,0,1,1171,65,63010,59963,65,1,1,479600.615,wselwood/jgrapht
YES,32376872,0,26,27,9,1051,12,87826,82405,12,3,4,8972058.2472,apache/directory-kerby
NO,67355702,1,0,0,1,765,9,11978,10586,9,2,1,16493.706,thomasnield/rxjava-jdbc
YES,30007781,0,1,0,2,7,2,250,81,2,2,2,1.4,escalate42/Javaz-Benchmarks
NO,42151367,1,0,0,1,5699,109,449328,336046,109,21,6,586148870.2608,siddhartharay007/presto
NO,21638932,1,0,0,1,0,0,307994,299294,0,87,6,0,mosoft521/netty
YES,45780307,0,5,6,1,1691,27,391047,188145,27,2,1,21424839.4548,Hanmourang/Pinot
NO,43381850,1,0,0,46,0,0,30102,23486,0,6,1,0,signalfx/metrics
YES,59257229,0,2,3,2,8,1,46090,5005,1,7,1,774.312,Lawrence-zxc/springStarter
NO,34599212,1,0,0,1,1062,27,35922,34620,27,3,1,309008.2284,wolf8334/springside4
NO,42600935,1,0,0,1,1131,31,24197,22976,31,2,1,169674.2034,sensaid/servo
YES,23130997,0,12,2,2,75,1,2739,2260,1,8,1,2136.42,jchambers/jvptree
YES,54810348,0,0,0,1,47,1,3339,1642,1,1,1,15.6933,kgilmer/XMLObjectIterable
NO,42282155,1,0,0,1,1226,67,58720,52387,67,50,1,24116891.2,mantofast/Hystrix
YES,11453959,0,204,39,28,571,9,11520,7584,9,13,1,15777141.12,easymock/objenesis
YES,62528396,0,0,1,1,67,1,17118,16639,1,6,1,688.1436,txazo/java
YES,31826841,0,0,0,1,7,1,778,601,1,29,1,15.7934,planetsizebrain/stringbundler-tests
NO,22684577,1,0,0,1,191,13,3363,1315,13,5,3,4175.1645,vyazelenko/jmh-gradle-plugin
NO,39040510,1,0,0,1,674,18,44917,44105,18,3,1,163479.9132,pford68/htm-java
YES,62765799,0,0,0,1,22,1,3048,2091,1,2,1,13.4112,jayjaylab-benchmark/retrofitvsokhttp
NO,41075326,1,0,0,1,344,20,10698,9884,20,8,1,58881.792,chenrui2014/okio
NO,11858740,1,32,2,4,702,5,49059,47938,5,28,1,15911011.116,vsonnier/hppcrt
YES,18880316,0,0,4,1,9,1,74939,315,1,8,1,539.5608,fstab/parallel-streams-example
NO,12799188,1,0,0,1,644,39,36196,24987,39,15,1,1363648.104,fabito/togglz
NO,55023853,1,0,0,1,62,10,219769,205423,10,8,1,109005.424,Luccr1/inspectIT
YES,62569629,0,44,20,10,540,4,74774,11897,4,15,2,10902049.2,nielsbasjes/yauaa
NO,40425513,1,0,0,1,8,3,4072,3012,3,11,1,107.5008,jxqlovejava/RxJavaParallel
YES,32708308,0,1,0,1,4,1,488486,317884,1,36,1,14068.3968,ashishbende/RPC-API
YES,21993347,0,176,54,262,762,20,34652,31034,20,38,1,355197692.448,Netflix/spectator
YES,39313959,0,6,3,1,80,2,4089,3344,2,9,2,4121.712,wavesoftware/java-eid-exceptions
NO,29386700,1,0,0,1,5972,113,288334,233569,113,8,2,155662530.5792,pombredanne/druid
YES,36305561,0,0,0,5,23,3,1145,834,3,2,2,15.801,CrispOSS/prime-sieves
YES,66920833,0,8,4,3,95,3,8624,6534,3,2,1,4424.112,tudorv91/SparkJNI
YES,22319832,0,1,1,1,18,1,3299,2962,1,72,1,855.1008,salyh/jsr353-benchmark
YES,32356675,0,0,2,8,310,16,9934,9156,16,8,1,39418.112,CyanogenMod/android-external-square-okio
NO,46322160,1,4,4,1,890,45,111319,98729,45,2,2,4458325.95,trustin/armeria
NO,44509902,1,0,0,2,1739,87,98728,92611,87,14,1,20911597.4256,nitin2goyal/parquet-mr-1
YES,47748212,0,0,2,12,14,2,452,263,2,1,1,1.2656,camunda/camunda-engine-dmn-benchmark
YES,24788173,0,0,0,0,18,2,1026,509,2,4,1,14.7744,tempredirect/GeoFun
YES,45803507,0,0,0,1,20,2,406,228,2,44,1,71.456,michaelhixson/jmh-benchmark-listof
YES,34984090,0,0,1,2,10,2,811,584,2,3,1,4.866000000000001,j-musca/kata08-conflicting-objectives
NO,59779262,1,30,20,25,315,18,21177,18467,18,3,1,1116684.387,neo4j-contrib/neo4j-jdbc
YES,15865211,0,159,6,15,89,3,19691,18643,3,11,1,925319.472,akarnokd/ixjava
NO,54225439,1,0,0,2,192,25,195199,182360,25,3,3,281086.56,kchilton2/incubator-rya
NO,92186207,1,0,0,1,1735,40,49579,28689,40,4,3,1376313.04,buybackoff/simple-binary-encoding
YES,44490305,0,0,0,1,28,1,7993,7654,1,44,1,984.7376,kvr000/zbynek-concurrent-pof
YES,40911266,0,0,0,1,9,1,7430,7306,1,26,1,173.862,rebornwhu/java-8-lambdas-exercises
NO,39213405,1,0,0,1,468,5,19199,16401,5,5,1,22462.83,KobeFeng/hppc
NO,41083231,1,0,0,1,721,38,66788,61626,38,8,5,1463886.0992,tuacy/grpc-java
YES,87329859,0,1,1,2,33,1,6106,2059,1,19,1,765.6924,neowu/core-ng-demo-project
NO,30905057,1,5,1,15,14,3,661,466,3,26,2,433.0872,AdoptOpenJDK/vmbenchmarks
YES,37956051,0,0,0,1,4,2,449,271,2,5,1,1.796,haozhun/regexp-bench
YES,64878617,0,1,0,1,0,0,23206,23116,0,2,1,0,isalnikov/ACMP
YES,86899301,0,0,0,2,13,2,16500,13226,2,3,1,128.7,demoth/finistika
NO,40289945,1,0,0,1,1185,66,56512,50221,66,39,1,17237233.728,loop-jazz/Hystrix
YES,32696426,0,0,0,1,5,1,302951,292305,1,36,1,5453.118,kaustubh-walokar/grpc-poll-service
NO,94862482,1,0,0,1,0,0,380218,368499,0,133,16,0,yipen9/netty
NO,31681854,1,0,0,1,4380,97,293032,272064,97,10,3,124497575.52,ydai1124/gobblin-1
YES,25423120,0,40,15,6,95,3,1055,804,3,5,1,6163.8375,arteam/100-Java-Concurrency-questions
NO,40038383,1,0,0,1,1183,66,56340,50049,66,39,1,17155766.628,sourceops/Hystrix
NO,31381511,1,0,0,1,1021,55,81153,75123,55,8,6,3645717.372,buchgr/grpc-java
YES,59980521,0,1,0,2,36,2,2910,2460,2,22,2,921.888,d0k1/groovy-eval-bench
YES,48459402,0,0,0,1,2,1,52470,51429,1,3,1,31.482,hgulcan/badr-htm
YES,66618294,0,0,0,1,16,1,54539,45808,1,8,1,698.0992,pink-lucifer/preresearch
YES,45267046,0,0,0,3,547,22,76269,68633,22,8,1,734256.9168,OneRom/external-okhttp
YES,77027580,0,6,1,2,201,1,8942,8289,1,2,1,2516.2788,bingoohuang/westcache
NO,43341416,1,0,0,1,934,51,71570,65883,51,8,5,2727332.304,joshuabezaleel/grpc-java
YES,43247934,0,82,16,31,1035,13,39727,38304,13,10,2,44365723.155,OpenCubicChunks/CubicChunks
YES,37136454,0,35,5,105,101,5,7079,5066,5,3,1,38608.866,spotify/missinglink
YES,39610923,0,1,0,1,4,1,3333,3170,1,16,1,42.6624,rafamonteiro/SerializationProtocolsBenchMark
YES,88126997,0,0,0,1,13,1,2517,2375,1,1,1,3.2721,rerorero/oleoleflake
YES,30199733,0,13,1,4,31,1,5027,4347,1,4,1,872.6872,kno10/reversegeocode
NO,52933647,1,0,0,1,1649,91,75354,68480,91,40,1,45230183.544,reboss/Hystrix
NO,43336657,1,0,0,1,853,12,60360,55633,12,3,4,185353.488,jiteshmohan/directory-kerby
YES,80602740,0,0,0,4,28,5,731453,543838,5,73,1,747544.966,marsorp/blog
NO,42683387,1,0,0,0,459,11,18027,17033,11,22,1,200240.3106,dmuino/spectator
YES,23189626,0,64,23,20,1113,25,20493,19936,25,8,2,29651321.7,TridentSDK/Trident
YES,28911086,0,0,0,1,4,1,1228,1069,1,3,1,1.4736,yshahun/probabilistic-util
YES,44491364,0,0,0,1,548,23,76175,68539,23,8,1,768087.76,w3nd1go/android-external-okhttp
YES,76129818,0,0,0,1,268,2,6160,5945,2,1,1,330.176,LucasPickering/terra
YES,22795312,0,209,123,66,1499,35,73239,71153,35,3,3,242076500.505,numenta/htm-java
NO,41155697,1,0,0,1,39,6,7204,7080,6,26,2,4382.9136,mukadder/java-8-lambdas-exercises
YES,50446559,0,6,24,16,175,13,16276,15675,13,3,3,77758.59,larusba/neo4j-jdbc
YES,30434501,0,0,0,1,1,1,754,579,1,18,1,1.3572,fenderstr/super-bench
NO,66905323,1,0,0,1,738,25,10659,10191,25,1,2,19665.855,nickrobson/TridentSDK
NO,42137216,1,0,0,0,359,39,15139,13337,39,7,1,148372.7973,ddteeter/feign
YES,46052889,0,0,0,0,106,2,136806,67102,2,37,1,107310.6264,simonpatrick/stepbystep-java
NO,39788725,1,0,1,1,501,17,33917,33020,17,4,1,115548.4356,NiteshKant/reactivesocket-java
NO,37558152,1,0,0,1,1039,21,51792,50805,21,3,2,339014.8944,chelu/htm-java
YES,41643841,0,0,0,1,3,1,825,773,1,1,1,0.2475,nypi/porter-stemmer
YES,60844667,0,7,1,2,361,2,115014,50116,2,5,1,332160.432,debop/debop4k
YES,34535025,0,0,0,1,389,1,13818,111,1,9,1,4837.6818,rayrobdod/deductionTactics
NO,30620886,1,0,0,0,335,10,20931,18567,10,5,1,35059.425,cmebarrow/nuklei
NO,42733894,1,0,0,0,1230,69,58717,52385,69,50,1,24916558.95,ouyangkongtong/Hystrix
YES,23350791,0,507,98,43,1019,4,11534,10584,4,42,2,100306049.2224,davidmoten/rtree
YES,75621695,0,671,175,74,348,5,29425,26967,5,88,1,302773363.2,json-iterator/java
YES,58283984,0,0,0,1,6,2,1061,781,2,14,1,17.8248,nesteant/java-tests
YES,88182582,0,11,0,2,163,1,1217,735,1,2,1,476.0904,codahale/shamir
NO,50563983,1,0,1,3,1176,16,47882,28213,16,1,1,90094.7712,elevennl/stagemonitor
YES,34850402,0,0,2,32,22,4,2189,1681,4,11,3,211.8952,finn-no/serdes-shootout
YES,22890298,0,16,0,2,95,1,8102,6197,1,5,1,6542.365,thheller/shadow-pgsql
NO,46714579,1,0,0,1,75,5,8770,8286,5,2,1,657.75,fischmax/rest-schemagen
YES,82870137,0,3,0,2,127,1,1838,1375,1,4,1,373.4816,davidmoten/hilbert-curve
NO,82708489,1,0,0,1,0,0,380720,368933,0,135,16,0,fenik17/netty
YES,17512689,0,8,2,1,23,1,623,153,1,8,1,103.1688,gvsmirnov/jmh-gradle-sample
YES,53076306,0,0,0,0,24,1,497524,347711,1,169,1,201795.7344,tcsiwula/java-code
