project,benchmark,numberOfConfigChanges
davidmoten/kool,org.davidmoten.kool.ShakespearePlaysScrabbleWithKool.measureThroughput,1
dryuf/dryuf-concurrent,cz.znj.kvr.sw.pof.concurrent.lwfuture.concurrent.benchmark.TriplePreListenerBenchmark.benchmarkGuava,1
dryuf/dryuf-concurrent,cz.znj.kvr.sw.pof.concurrent.lwfuture.concurrent.benchmark.TriplePreListenerBenchmark.benchmarkSpring,1
dryuf/dryuf-concurrent,cz.znj.kvr.sw.pof.concurrent.lwfuture.concurrent.benchmark.SinglePostListenerBenchmark.benchmarkJdk,1
dryuf/dryuf-concurrent,cz.znj.kvr.sw.pof.concurrent.lwfuture.concurrent.benchmark.SinglePostListenerBenchmark.benchmarkGuava,1
dryuf/dryuf-concurrent,cz.znj.kvr.sw.pof.concurrent.lwfuture.concurrent.benchmark.SinglePostListenerBenchmark.benchmarkSpring,1
dryuf/dryuf-concurrent,cz.znj.kvr.sw.pof.concurrent.lwfuture.concurrent.benchmark.DoublePreListenerBenchmark.benchmarkGuava,1
dryuf/dryuf-concurrent,cz.znj.kvr.sw.pof.concurrent.lwfuture.concurrent.benchmark.DoublePreListenerBenchmark.benchmarkSpring,1
easymock/objenesis,org.objenesis.benchmark.ConcurrentGetInstantiator.std,1
easymock/objenesis,org.objenesis.benchmark.ConcurrentGetInstantiator.single,1
easymock/objenesis,org.objenesis.benchmark.ConcurrentGetInstantiator.custom,1
easymock/objenesis,org.objenesis.benchmark.ConcurrentGetInstantiator.cachedStd,1
easymock/objenesis,org.objenesis.benchmark.ConcurrentGetInstantiator.uncachedStd,1
hibernate/hibernate-validator,org.hibernate.validator.performance.cascaded.CascadedValidation.testCascadedValidation,1
hibernate/hibernate-validator,org.hibernate.validator.performance.cascaded.CascadedValidation.testCascadedValidationIterative,1
hibernate/hibernate-validator,org.hibernate.validator.performance.simple.SimpleValidation.testSimpleBeanValidation,1
hibernate/hibernate-validator,org.hibernate.validator.performance.simple.SimpleValidation.testSimpleBeanValidationRecreatingValidatorFactory,1
hibernate/hibernate-validator,org.hibernate.validator.performance.statistical.StatisticalValidation.testValidationWithStatisticalGraphDepthAndConstraintValidator,1
imglib/imglib2,net.imglib2.loops.LoopPerformanceBenchmark.gradient_niceAndSlow,1
imglib/imglib2,net.imglib2.loops.LoopPerformanceBenchmark.gradient_better,1
imglib/imglib2,net.imglib2.loops.LoopPerformanceBenchmark.copy_loopBuilder,1
jajir/jblinktree,com.coroptis.jblinktree.performance.AbstractMapTest.insert_performance,1
jasobrown/barker,jmh.barker.SecureRandomBench.newPlainIV,1
jasobrown/barker,jmh.barker.SecureRandomBench.newSecureIV,1
JCTools/JCTools,org.jctools.jmh.throughput.QueueThroughputBackoffNone.offer,1
JCTools/JCTools,org.jctools.jmh.throughput.QueueThroughputBackoffNone.poll,1
JCTools/JCTools,org.jctools.jmh.throughput.MpqThroughputBackoffNone.offerNoR,1
JCTools/JCTools,org.jctools.jmh.throughput.MpqThroughputBackoffNone.pollNoR,1
JCTools/JCTools,org.jctools.jmh.throughput.MpqThroughputBackoffNone.offerBothR,1
JCTools/JCTools,org.jctools.jmh.throughput.MpqThroughputBackoffNone.pollBothR,1
JCTools/JCTools,org.jctools.jmh.throughput.MpqThroughputBackoffNone.offerPR,1
JCTools/JCTools,org.jctools.jmh.throughput.MpqThroughputBackoffNone.pollPR,1
JCTools/JCTools,org.jctools.jmh.throughput.MpqThroughputBackoffNone.offerCR,1
JCTools/JCTools,org.jctools.jmh.throughput.MpqThroughputBackoffNone.pollCR,1
JCTools/JCTools,org.jctools.jmh.throughput.MpqDrainFillThroughputBackoffNone.fill,1
JCTools/JCTools,org.jctools.jmh.throughput.MpqDrainFillThroughputBackoffNone.drain,1
JetBrains/xodus,jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.successiveRead,1
JetBrains/xodus,jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.randomRead,1
JetBrains/xodus,jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetReadBenchmark.successiveRead,1
JetBrains/xodus,jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetReadBenchmark.randomRead,1
JetBrains/xodus,jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.successiveRead,1
JetBrains/xodus,jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.randomRead,1
JetBrains/xodus,jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.successiveWrite,1
JetBrains/xodus,jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.randomWrite,1
JetBrains/xodus,jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetWriteBenchmark.successiveWrite,1
JetBrains/xodus,jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetWriteBenchmark.randomWrite,1
JetBrains/xodus,jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetReadBenchmark.successiveRead,1
JetBrains/xodus,jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetReadBenchmark.randomRead,1
jpaw/bonaparte-java,de.jpaw.bonaparte.benchmarks.map.GuavaCache.guavaPutNoTO,1
jpaw/bonaparte-java,de.jpaw.bonaparte.benchmarks.map.GuavaCache.guavaPutWrTO,1
jpaw/bonaparte-java,de.jpaw.bonaparte.benchmarks.map.GuavaCache.guavaPutRdTO,1
jpaw/bonaparte-java,de.jpaw.bonaparte.benchmarks.map.GuavaCache.guavaGetNoTO,1
jpaw/bonaparte-java,de.jpaw.bonaparte.benchmarks.map.GuavaCache.guavaGetWrTO,1
jpaw/bonaparte-java,de.jpaw.bonaparte.benchmarks.map.GuavaCache.guavaGetRdTO,1
jsubercaze/simhashdb,fr.ujm.tse.lt2c.satin.simhash.benchmark.AverageTimeBenchmark.benchArrayList,1
jsubercaze/simhashdb,fr.ujm.tse.lt2c.satin.simhash.benchmark.AverageTimeBenchmark.benchGuava,1
karlicoss/autohash,benchmarks.TestBenchmark.getFromSmallHashSet,1
kickass-jmh/riviera,fr.rivieradev.jmh.MapConcurrency.hashtable,1
kickass-jmh/riviera,fr.rivieradev.jmh.MapConcurrency.concurrentMap,1
kiegroup/kie-benchmarks,org.drools.benchmarks.session.EmptySessionWithInsertionsAndFireBenchmark.testCreateEmptySession,1
kiegroup/kie-benchmarks,org.drools.benchmarks.session.UpdatesOnJoinBenchmark.test,1
kiegroup/kie-benchmarks,org.drools.benchmarks.session.UpdateJoinRootFactAndFireBenchmark.test,1
kiegroup/kie-benchmarks,org.drools.benchmarks.session.NodeLinkingBenchmark.test,1
kiegroup/kie-benchmarks,org.drools.benchmarks.operators.EvalBenchmark.test,1
kiegroup/kie-benchmarks,org.drools.benchmarks.operators.ExistsBenchmark.test,1
kiegroup/kie-benchmarks,org.drools.benchmarks.operators.AccumulateBenchmark.test,1
kno10/reversegeocode,com.kno10.reversegeocode.bench.BenchmarkReverseGeocoder.openQueryClose,1
kvr000/zbynek-concurrent-pof,cz.znj.kvr.sw.pof.concurrent.lwfuture.concurrent.benchmark.TriplePreListenerBenchmark.benchmarkGuava,1
kvr000/zbynek-concurrent-pof,cz.znj.kvr.sw.pof.concurrent.lwfuture.concurrent.benchmark.TriplePreListenerBenchmark.benchmarkSpring,1
kvr000/zbynek-concurrent-pof,cz.znj.kvr.sw.pof.concurrent.lwfuture.concurrent.benchmark.SinglePostListenerBenchmark.benchmarkJdk,1
kvr000/zbynek-concurrent-pof,cz.znj.kvr.sw.pof.concurrent.lwfuture.concurrent.benchmark.SinglePostListenerBenchmark.benchmarkGuava,1
kvr000/zbynek-concurrent-pof,cz.znj.kvr.sw.pof.concurrent.lwfuture.concurrent.benchmark.SinglePostListenerBenchmark.benchmarkSpring,1
kvr000/zbynek-concurrent-pof,cz.znj.kvr.sw.pof.concurrent.lwfuture.concurrent.benchmark.DoublePreListenerBenchmark.benchmarkGuava,1
kvr000/zbynek-concurrent-pof,cz.znj.kvr.sw.pof.concurrent.lwfuture.concurrent.benchmark.DoublePreListenerBenchmark.benchmarkSpring,1
MaridProject/typedmap,org.marid.typedmap.identity.benchmark.TypedMapGetBenchmark.get,1
melix/jmh-gradle-plugin,me.champeau.gradle.jmh.sample.SampleBenchmark.sqrtBenchmark,1
neo4j-contrib/neo4j-graph-algorithms,org.neo4j.graphalgo.bench.LabelPropagationBenchmarkLdbc._03_direct,1
netty/netty,io.netty.microbench.http2.internal.hpack.EncoderBenchmark.encode,1
oracle/graal,com.oracle.truffle.api.benchmark.InterpreterCallBenchmark.directCall,1
outbrain/prometheus-client,com.outbrain.swinfra.metrics.SummaryThroughputTest.measureSummaryThroughput,1
outbrain/prometheus-client,com.outbrain.swinfra.metrics.SummaryThroughputTest.measureSummaryThroughputWithLabels,1
outbrain/prometheus-client,com.outbrain.swinfra.metrics.SummaryThroughputTest.measurePrometheusSummaryThroughput,1
outbrain/prometheus-client,com.outbrain.swinfra.metrics.SummaryThroughputTest.measurePrometheusSummaryThroughputWithLabels,1
palantir/atlasdb,com.palantir.atlasdb.performance.benchmarks.KvsPutBenchmarks.putUnlessExistsAndExists,1
presidentio/test-data-generator,com.presidentio.testdatagenerator.benchmark.EsFileBenchmark.measureEsDirect,1
prestodb/presto,com.facebook.presto.operator.scalar.BenchmarkArrayHashCodeOperator.arrayHashCode,1
prestosql/presto,com.facebook.presto.operator.scalar.BenchmarkArrayHashCodeOperator.arrayHashCode,1
prestosql/presto,io.prestosql.orc.BenchmarkStreamReaders.readBooleanNoNull,1
prestosql/presto,io.prestosql.orc.BenchmarkStreamReaders.readBooleanWithNull,1
prestosql/presto,io.prestosql.orc.BenchmarkStreamReaders.readByteNoNull,1
prestosql/presto,io.prestosql.orc.BenchmarkStreamReaders.readByteWithNull,1
prestosql/presto,io.prestosql.orc.BenchmarkStreamReaders.readDoubleNoNull,1
prestosql/presto,io.prestosql.orc.BenchmarkStreamReaders.readDoubleWithNull,1
prestosql/presto,io.prestosql.orc.BenchmarkStreamReaders.readFloatNoNull,1
prestosql/presto,io.prestosql.orc.BenchmarkStreamReaders.readFloatWithNull,1
prestosql/presto,io.prestosql.orc.BenchmarkStreamReaders.readSliceDictionaryNoNull,1
prestosql/presto,io.prestosql.orc.BenchmarkStreamReaders.readSliceDictionaryWithNull,1
prestosql/presto,io.prestosql.orc.BenchmarkStreamReaders.readTimestampNoNull,1
prestosql/presto,io.prestosql.orc.BenchmarkStreamReaders.readTimestampWithNull,1
prestosql/presto,io.prestosql.orc.BenchmarkStreamReaders.readAllNull,1
ReactiveX/RxJava,io.reactivex.RxVsStreamPerf.range,1
ReactiveX/RxJava,io.reactivex.RxVsStreamPerf.rangeNbp,1
ReactiveX/RxJava,io.reactivex.RxVsStreamPerf.rangeFlatMap,1
ReactiveX/RxJava,io.reactivex.RxVsStreamPerf.rangeNbpFlatMap,1
resilience4j/resilience4j,javaslang.circuitbreaker.RingBitSetBenachmark.setBits,1
resilience4j/resilience4j,javaslang.circuitbreaker.CircuitBreakerBenchmark.invokeSupplier,1
RoaringBitmap/RoaringBitmap,org.roaringbitmap.bithacking.UnsignedVSFlip.tointUnsignedTime,1
RoaringBitmap/RoaringBitmap,org.roaringbitmap.bithacking.UnsignedVSFlip.flipTime,1
rslemos/pet-grammars,br.eti.rslemos.aet.AETBenchmark.compile,1
rsocket/rsocket-java,io.reactivesocket.ReactiveSocketPerf.requestStreamHello1000,1
rsocket/rsocket-java,io.reactivesocket.ReactiveSocketPerf.fireAndForgetHello,1
SquidPony/SquidLib,squidpony.performance.LOSBenchmark.measureBresenham,1
SquidPony/SquidLib,squidpony.performance.LOSBenchmark.measureDDA,1
SquidPony/SquidLib,squidpony.performance.LOSBenchmark.measureRay,1
SquidPony/SquidLib,squidpony.performance.LOSBenchmark.measureOrtho,1
SquidPony/SquidLib,squidpony.performance.NoiseBenchmark.measurePerlin2D,1
SquidPony/SquidLib,squidpony.performance.NoiseBenchmark.measurePerlin3D,1
SquidPony/SquidLib,squidpony.performance.NoiseBenchmark.measureMerlin2D,1
SquidPony/SquidLib,squidpony.performance.NoiseBenchmark.measureMerlin3D,1
SquidPony/SquidLib,squidpony.performance.NoiseBenchmark.measureWhirling2D,1
SquidPony/SquidLib,squidpony.performance.NoiseBenchmark.measureWhirling3D,1
SquidPony/SquidLib,squidpony.performance.NoiseBenchmark.measureWhirlingAlt2D,1
SquidPony/SquidLib,squidpony.performance.NoiseBenchmark.measureWhirlingAlt3D,1
SquidPony/SquidLib,squidpony.performance.NoiseBenchmark.measurePerlin4D,1
SquidPony/SquidLib,squidpony.performance.NoiseBenchmark.measureWhirling4D,1
SquidPony/SquidLib,squidpony.performance.NoiseBenchmark.measureSeeded2D,1
SquidPony/SquidLib,squidpony.performance.NoiseBenchmark.measureSeeded3D,1
SquidPony/SquidLib,squidpony.performance.NoiseBenchmark.measureSeeded4D,1
SquidPony/SquidLib,squidpony.performance.NoiseBenchmark.measureSeeded6D,1
SquidPony/SquidLib,squidpony.performance.RNGBenchmark.measureFlap,1
SquidPony/SquidLib,squidpony.performance.RNGBenchmark.measureFlapInt,1
SquidPony/SquidLib,squidpony.performance.RNGBenchmark.measureFlapR,1
SquidPony/SquidLib,squidpony.performance.RNGBenchmark.measureFlapIntR,1
SquidPony/SquidLib,squidpony.performance.DijkstraBenchmark.doScanDijkstra,1
SquidPony/SquidLib,squidpony.performance.DijkstraBenchmark.doPathDijkstra,1
SquidPony/SquidLib,squidpony.performance.DijkstraBenchmark.doTinyPathDijkstra,1
SquidPony/SquidLib,squidpony.performance.DijkstraBenchmark.doPathCustomDijkstra,1
SquidPony/SquidLib,squidpony.performance.DijkstraBenchmark.doTinyPathCustomDijkstra,1
SquidPony/SquidLib,squidpony.performance.DijkstraBenchmark.doPathGDXAStar,1
SquidPony/SquidLib,squidpony.performance.DijkstraBenchmark.doTinyPathGDXAStar,1
SquidPony/SquidLib,squidpony.performance.DataStructureBenchmark.insertLinkedHashMap,1
SquidPony/SquidLib,squidpony.performance.DataStructureBenchmark.insertSquidOM,1
SquidPony/SquidLib,squidpony.performance.DataStructureBenchmark.insertSquidOM2,1
SquidPony/SquidLib,squidpony.performance.DataStructureBenchmark.insertSquidOM3,1
SquidPony/SquidLib,squidpony.performance.DataStructureBenchmark.insertGdxOM,1
SquidPony/SquidLib,squidpony.performance.DataStructureBenchmark.insertGdxOM2,1
SquidPony/SquidLib,squidpony.performance.DataStructureBenchmark.insertLinkedHashSet,1
SquidPony/SquidLib,squidpony.performance.DataStructureBenchmark.insertSquidOS,1
SquidPony/SquidLib,squidpony.performance.DataStructureBenchmark.insertSquidOS2,1
SquidPony/SquidLib,squidpony.performance.DataStructureBenchmark.insertSquidOS3,1
SquidPony/SquidLib,squidpony.performance.DataStructureBenchmark.insertGdxOS,1
SquidPony/SquidLib,squidpony.performance.DataStructureBenchmark.insertGdxOS2,1
tommyettinger/sarong,sarong.RNGBenchmark.measureThunder,1
tommyettinger/sarong,sarong.RNGBenchmark.measureThunderInt,1
tommyettinger/sarong,sarong.RNGBenchmark.measureThunderR,1
tommyettinger/sarong,sarong.RNGBenchmark.measureThunderIntR,1
tommyettinger/sarong,sarong.RNGBenchmark.measureLight,1
tommyettinger/sarong,sarong.RNGBenchmark.measureLightInt,1
tommyettinger/sarong,sarong.RNGBenchmark.measureLightR,1
tommyettinger/sarong,sarong.RNGBenchmark.measureLightIntR,1
tommyettinger/sarong,sarong.RNGBenchmark.measureLongPeriod,1
tommyettinger/sarong,sarong.RNGBenchmark.measureLongPeriodInt,1
tommyettinger/sarong,sarong.RNGBenchmark.measureLongPeriodR,1
tommyettinger/sarong,sarong.RNGBenchmark.measureLongPeriodIntR,1
tommyettinger/sarong,sarong.UncommonBenchmark.measureLongPeriod,1
tommyettinger/sarong,sarong.UncommonBenchmark.measureLongPeriodInt,1
tommyettinger/sarong,sarong.UncommonBenchmark.measureLongPeriodR,1
tommyettinger/sarong,sarong.UncommonBenchmark.measureLongPeriodIntR,1
tommyettinger/sarong,sarong.UncommonBenchmark.measureLight,1
tommyettinger/sarong,sarong.UncommonBenchmark.measureLightInt,1
tommyettinger/sarong,sarong.UncommonBenchmark.measureLightR,1
tommyettinger/sarong,sarong.UncommonBenchmark.measureLightIntR,1
tommyettinger/sarong,sarong.RNGBenchmark.measureThrust32,1
tommyettinger/sarong,sarong.RNGBenchmark.measureThrust32Int,1
tommyettinger/sarong,sarong.RNGBenchmark.measureThrust32R,1
tommyettinger/sarong,sarong.RNGBenchmark.measureThrust32IntR,1
tommyettinger/sarong,sarong.UncommonBenchmark.measureLFSR,1
tommyettinger/sarong,sarong.UncommonBenchmark.measureLFSRInt,1
tommyettinger/sarong,sarong.UncommonBenchmark.measureLFSRR,1
udoprog/tiny-async-java,eu.toolchain.perftests.jmh.ManyThreadsAddingListeners.tiny,1
udoprog/tiny-async-java,eu.toolchain.perftests.jmh.ManyThreadsAddingListeners.guava,1
