project,benchmarks,time
classgraph/classgraph,4,1.31
coconut2015/cookjson,12,1.42
Codearte/duramen,1,1.5
coder-press/crazy-soap,2,0.15
codesorcery/juan,9,0.71
ConSol/parallel-streams-example,8,0.03
conversant/disruptor_benchmark,16,1.64
cpoepke/demos,24,0.03
crate/crate,38,1.31
CrispOSS/prime-sieves,2,0.08
cryptomator/cryptolib,8,0.95
cryptomator/siv-mode,3,1.02
cs-ester-peixoto/docker-jenkins,40,0.42
cschenyuan/hive-hack,6,1.03
d0k1/acache,6,0.8
d0k1/groovy-eval-bench,22,1.09
d0k1/jitloganalyzer,7,0.13
DaanVanYperen/artemis-odb-contrib,17,4.53
dafei1288/max,1,0.37
danielnorberg/rut,5,1.79
DanielThomas/spring-boot-starter-netty,7,0.09
darwin-evolution/darwin,5,0.77
DataArt/CalculationEngine,14,0.31
davidhagar-zz/java-microbenchmarks,20,0.06
davidmoten/audio-recognition,1,0.23
davidmoten/geo,2,1.92
davidmoten/hilbert-curve,12,1.15
davidmoten/kool,10,3.83
davidmoten/rtree-3d,34,3.84
davidmoten/rtree,42,3.56
davidmoten/rxjava-extras,1,2.67
davidmoten/rxjava-jdbc,2,1.59
davidmoten/rxjava2-extras,10,2.78
davidmoten/rxjava2-http,1,1.29
davidmoten/word-wrap,1,3.53
dcapwell/collections,2,0.06
dcapwell/jmh-tests,25,1.0
debmalya/vigilant-tribble,8,0.29
deephacks/lmdbjni,5,2.42
demoth/finistika,3,0.27
Devexperts/dlcheck,7,2.25
dimagi/commcare-core,1,2.65
dimitrovchi/enum-like,27,0.11
dmart28/reveno,1,1.09
dmitryleskov/algs4bench,23,0.07
dmnlukasik/java-8-concurrency-updates,6,0.1
Domo42/saga-lib,10,2.52
drankye/bufferalloc,12,0.38
dropbox/dropbox-sdk-java,3,3.21
dropwizard/dropwizard,8,1.31
dropwizard/metrics,11,1.31
dryuf/dryuf-concurrent,50,3.24
easymock/objenesis,13,1.26
ecki/jmhbench-cryptospeed,13,0.28
eclipse/eclipse-collections,515,1.2
eclipse/vert.x,33,2.31
elliottneilclark/time-test,2,0.3
enisher/polymorphic-calls-benchmark,5,0.05
ennerf/flatbuffers-java-benchmark,13,0.41
epickrram/benchmark,9,2.36
epickrram/jvm-warmup-talk,4,0.46
epickrram/lock-benchmark,4,0.37
epickrram/lock-contention,1,0.08
eranharel/memcached-java-clients-benchmark,12,0.22
ericmm/Woobaben,56,1.85
ericmoshare/uid-generator,2,0.27
ESAPI/esapi-java-legacy,2,1.29
escalate42/Javaz-Benchmarks,2,0.08
eternita/frontcache,1,3.39
evanj/expire-threadlocal,6,0.26
fabienrenaud/java-json-benchmark,58,0.84
fabri1983/menuapp,2,1.27
fakemongo/fongo,6,2.4
federicotg/hashing,98,1.17
fenderstr/my-bench,18,0.39
fenderstr/super-bench,18,0.27
finn-no/serdes-shootout,11,0.07
FIXTradingCommunity/silverflash,6,0.36
fpavageau/bench-filters,9,0.07
fpavageau/bench-simple-name,3,0.12
frankboller/watcher,16,2.07
gameduell/eclipselink.runtime,52,1.72
gdrouet/scanner-benchmark,3,0.1
ghxandsky/benchmarx,5,0.1
glowroot/glowroot,5,1.31
Gohla/persistent-graph,16,0.1
golo-lang/golo-jmh-benchmarks,94,0.73
google/conscrypt,7,2.31
gorkem/js-parser-benchmarks,2,0.13
gpanther/benchmark-arraycopy,14,0.25
gpanther/lychrel-numbers,5,0.09
gpanther/regex-libraries-benchmarks,2,0.33
graphql-java/graphql-java,3,1.31
Graylog2/graylog-plugin-pipeline-processor,10,1.48
grpc/grpc-java,42,2.31
guyko/weighted-lottery,10,1.21
gvsmirnov/java-perv,37,2.24
gvsmirnov/jmh-gradle-sample,8,0.77
h2oai/h2o-3,36,1.31
Hanmourang/Pinot,2,0.27
HansBrende/f8,2,0.76
haozhun/regexp-bench,5,0.81
hawkular/hawkular-metrics,1,2.58
hazelcast/hazelcast,66,2.8
HBTGmbH/java-propertyname,3,1.21
hhu-stups/bmoth,1,1.14
hibernate/hibernate-ogm,27,1.11
hibernate/hibernate-validator,9,1.64
hmarchadour/EasyCDO,6,0.22
hsqlu/coding-lab,16,3.07
HubSpot/jinjava,4,1.31
huxi/sulky,6,2.62
iamdarksorcerer/java-jmh-benchmarks,16,2.56
ibodrov/bpm,3,0.42
identifiers/identifiers-java,4,0.77
iloveyou416068/CookNIOServer,32,0.78
imglib/imglib2,19,2.3
immutables/samples,8,1.93
iNikem/clean,3,0.44
insano10/puzzlers,4,0.49
inspectIT/inspectIT,30,2.04
intropro/prairie,23,1.1
InvisibleTech/state,3,0.05
iok1979/test,5,1.43
ipogudin/examples,3,0.96
irobertson/invokedynamic-talk-code,7,0.08
irobertson/StringBuilderInvokeDynamicBenchmark,1,0.11
IRus/Instanceof-vs-Try-Catch,2,2.21
isalnikov/ACMP,3,3.07
ivgiuliani/jelf,4,0.03
j-easy/easy-batch,1,2.06
j-musca/kata08-conflicting-objectives,3,0.09
jad7/AtomicIncrementBenchmark,7,0.17
jajir/jblinktree,9,1.15
jasobrown/barker,94,0.94
Java-Courses/collections-m0e4,2,0.51
java8/Java8InAction,5,0.15
Javalbert/faster-than-reflection,8,2.59
Javalbert/sql-builder-orm,7,2.75
jayjaykim/jmh-sample,4,0.22
jayjaylab-benchmark/retrofitvsokhttp,2,0.44
jayware/entity-essentials,4,1.01
jchambers/java-otp,1,1.18
jchambers/jeospatial,3,0.79
jchambers/jvptree,8,1.77
JCTools/JCTools,92,1.23
jenetics/jenetics,53,1.59
jenetics/prngine,10,2.47
jerrinot/FieldMagic,3,0.04
JervenBolleman/java-benchmarks,17,0.3
JetBrains/xodus,70,2.29
jfaleiro/keyvalue,1,0.99
jgrapht/jgrapht,27,1.27
jharting/weld-collections-benchmark,4,0.18
Jiri-Kremser/inventory-benchmark,13,0.1
jjenkov/iap-tools-java-benchmarks,372,0.47
jkirsch/spex,8,0.07
jmiettinen/jradixheap,6,0.07
johnlcox/motif,4,0.21
jon-hanson/funcj,1,1.29
josegom/training,3,0.85
joyent/java-http-signature,9,0.83
joyent/java-manta,2,1.26
json-iterator/java,2,1.19
jsubercaze/simhashdb,2,4.13
jsurfer/JsonSurfer,23,4.05
jthelin/orbit,5,3.33
junkdog/artemis-odb,1,4.91
junkdog/entity-system-benchmarks,32,0.42
jvz/nio-logger,15,0.07
kaazing/gateway,6,1.46
kaustubh-walokar/grpc-poll-service,36,0.81
kawasima/copyfile-benchmark,3,0.65
kevoree-modeling/benchmark,18,0.54
kickass-jmh/riviera,11,2.47
kiegroup/kie-benchmarks,150,1.28
kno10/reversegeocode,4,0.19
konik-io/konik,2,4.84
konmik/collection-benchmark,8,0.1
Konstantin8105/Triangulation,6,1.51
kpavlov/fixio,1,0.2
krystian-k/java-feature-bench,28,1.05
kvnxiao/kommandant,1,0.15
kvr000/zbynek-concurrent-pof,44,0.19
kvr000/zbynek-java-exp,22,3.31
Lawrence-zxc/springStarter,7,3.29
leeyikjiun/blog,17,0.18
Leibnizhu/spring-boot-starter-netty,2,1.54
lemire/microbenchmarks,67,3.37
Lessnic/CAISS,1,0.41
lettuce-io/lettuce-core,65,1.27
lexas2509/perf,4,0.04
lhyqie/rtree,34,0.49
LiveMyKarma/Finalizer,2,0.8
lmdbjava/benchmarks,56,3.0
loxal/template,1,0.13
lucwillems/JavaLinuxNet,8,4.18
m0wfo/false-sharing-demo,4,0.22
magneticflux-/gridsim,1,0.11
manhcuongkd/blynk-server,20,0.95
manoelcampos/cloudsim-plus,9,2.71
marcelmay/hadoop-hdfs-fsimage-exporter,1,1.1
MaridProject/typedmap,7,0.08
marklogic/marklogic-jena,1,4.63
marklogic/marklogic-sesame,1,3.89
marschall/charsequences,10,1.3
marschall/line-parser,8,0.71
marschall/mini-commons,22,0.42
marschall/sets,14,0.45
MartinanderssonDotcom/money-profiling,23,1.04
matthew-dailey/java-playaround,11,0.75
maxdemarzi/ChronicleGraph,8,0.08
maxdemarzi/graph_processing,7,1.91
maxdemarzi/GuancialeDB,10,0.14
maxdemarzi/neo_dislikes,2,0.12
maxifier/mxcache,8,1.04
maximenajim/nashorn-react-jmh-microbenchmark,1,0.06
mbosecke/pebble-benchmark,3,0.07
mbosecke/template-benchmark,8,0.44
meghana0507/grpc-java-poll,36,0.81
Mercateo/json-schema,2,0.99
Mercateo/reflection,3,0.41
Mercateo/rest-schemagen,2,1.45
MeteoGroup/jbrotli,5,1.58
michaelhixson/jmh-benchmark-listof,44,0.11
michaljonko/blog-examples,12,0.76
mikeb01/scratch,5,1.18
mikvor/hashmapTest,1,0.17
mjeffrey/log-sanitizer,6,1.14
mkraemerx/algorithm-art,1,0.15
Mojang/blixtser,16,0.18
mono-plane/presto,5,0.89
MorganBauer/java-experiments,6,0.05
moves-rwth/attestor-examples,160,1.76
mox601/mybatis-pool-jmh,1,0.1
mp911de/logstash-gelf,16,1.26
msteindorfer/criterion,101,2.66
msteindorfer/oopsla15-artifact,22,0.35
mweirauch/micrometer-jvm-extras,2,1.28
myzhan/locust4j,1,1.18
Nawy/UnsafeCollections,8,0.11
neo4j-contrib/neo4j-graph-algorithms,78,1.21
neo4j-contrib/neo4j-jdbc,7,2.31
neowu/core-ng-demo-project,47,1.29
nesteant/java-tests,14,1.87
Netflix/Hystrix,40,2.22
Netflix/spectator,68,2.3
netty/netty,183,1.31
netzwerg/paleo,2,0.54
nextopcn/lite-pool,12,1.41
nickman/json-benchmark,32,0.28
nickman/UnsafeAdapter,7,0.97
nicoulaj/jmh-utils,7,0.42
nielsbasjes/yauaa,15,1.28
nikarh/equals-builder,15,0.13
nithril/packedobject-test,2,0.05
nithril/sandbox-query-benchmark-jooq-hibernate-jdbc,10,0.4
nitsanw/jmh-samples,19,0.03
nitsanw/safepoint-experiments,18,0.15
nobeh/jmh-forked-main-threads,1,0.07
nom-tam-fits/nom-tam-fits,2,3.78
notsyncing/lightfur,1,1.39
npetzall/persistent-queue,15,2.55
numenta/htm.java,3,4.05
oblac/jodd,46,1.31
octabase/fnr-java,6,0.09
opendaylight/controller,12,1.31
opendaylight/yangtools,9,1.31
OpenFeign/feign,8,1.61
OpenHFT/Chronicle-Algorithms,4,4.04
OpenHFT/Chronicle-Logger,4,5.04
OpenHFT/jvm-micro-benchmarks,29,0.16
openzipkin/zipkin-reporter-java,10,1.28
openzipkin/zipkin,73,1.31
optimatika/ojAlgo-linear-algebra-benchmark,16,1.28
optimizely/java-sdk,20,3.39
orfjackal/cqrs-hotel,6,0.68
outbrain/prometheus-client,34,3.96
PacktPublishing/Mastering-Mesos,9,0.45
palantir/atlasdb,65,3.22
paninij/paninij,1,1.51
paritytrading/parity,7,2.22
paritytrading/philadelphia,31,1.3
patrickfav/bytes-java,1,1.12
pdemanget/examples,2,2.99
peptos/traffic-shm,2,1.95
person-lee/nlp,18,2.63
peterszatmary/jmh-benchmark-demo,2,1.81
PhantomThief/more-lambdas-java,2,1.29
PhantomThief/scope,6,1.26
PhantomThief/simple-failover-java,2,1.3
PhillHenry/palgorithms,3,0.55
pietermartin/sqlg,10,1.62
Pitt112/night-hawk,2,0.52
planetsizebrain/stringbundler-tests,29,0.03
pombreda/btrace-hg,9,0.08
prasanthj/bloomfilter,11,0.18
prasanthj/hasher,18,2.5
presidentio/test-data-generator,9,2.66
promeG/TinyPinyin,8,2.31
prometheus/client_java,33,4.79
protobufel/multikeymapjava,8,0.57
protobufel/protobuf-el,7,2.84
protostuff/protostuff,16,4.13
puniverse/quasar,29,0.51
Querables/querables-java,5,0.22
rabbitmq/rabbitmq-perf-test,2,1.3
rafamonteiro/SerializationProtocolsBenchMark,16,0.06
raphw/byte-buddy,39,2.77
raviprak/JAVABench,11,2.07
raydac/java-binary-block-parser,3,1.3
ReactiveX/RxJavaParallel,11,0.49
reactor/reactive-streams-commons,157,3.55
reactor/reactor-core,13,1.31
reaktivity/nukleus-tcp.java,2,2.62
reaktivity/nukleus.java,6,3.37
real-logic/benchmarks,27,1.3
real-logic/simple-binary-encoding,4,1.3
reific/braid,11,0.06
relayrides/pushy,2,1.19
renoth/texxxxas,2,1.05
requery/requery,2,3.34
rerorero/oleoleflake,1,0.15
restfb/restfb-benchmark,3,0.05
rgorodischer/microbenchmarks,4,0.52
RichardWarburton/java-final-benchmark,34,0.04
rkraneis/rtree,33,0.29
rmpestano/cukedoctor,1,3.63
rnc/jmh-benchmarks,2,0.02
robinst/autolink-java,1,1.17
robinst/microbenchmarks,11,0.1
rodolfodpk/myeslib2,2,0.48
rolve/better-checks,3,0.6
rsby/gunmetal,2,0.83
rslemos/cobolg,3,1.16
rslemos/pet-grammars,1,1.22
rsocket/rsocket-java,16,5.22
RTBHOUSE/avro-fastserde,40,1.07
RTBHOUSE/neural-network-native-ops,11,2.16
ruediste/salta-benchmark,8,0.16
runidle/runidle-testing,9,0.26
ruslan-sverchkov/aho-corasick,10,0.2
rxin/jvm-unsafe-utils,3,0.02
s4ke/moar,7,1.0
sajato/logw,13,1.89
salyh/jsr353-benchmark,72,0.05
Sandyarathi/Lab2gRPC,36,0.81
sangupta/gather,2,0.7
sboesebeck/morphium,12,1.31
sbwdlihao/chainj,1,0.19
SeanPMiller/containers,16,3.43
SerCeMan/jmh-spring,1,0.04
shalinmangar/solr-jmh-tests,10,0.13
shunfei/indexr,48,3.8
simonpatrick/stepbystep-java,13,1.88
SlimRoms/android_external_okhttp,8,2.02
smoketurner/graphiak,1,0.2
snazy/ohc,8,1.15
snikiforov4/try-geolocation,2,0.13
SoatGroup/benchamrk-lambda,14,0.79
sparkoo/Java-Grande-JMH,93,0.95
spiffykahuna/TIJ4-code_idea,13,0.05
spotify/apollo,1,1.3
spotify/completable-futures,4,2.51
spotify/missinglink,3,4.02
spotify/netty-zmtp,6,0.77
spotify/sparkey-java,10,0.81
spriet2000/handlers,1,0.83
spriet2000/vertx-http-router,2,1.41
spring-cloud/spring-cloud-sleuth,19,2.79
springside/springside4,3,1.93
Squarespace/less-compiler,1,2.06
Squarespace/template-compiler,27,2.3
SquidPony/SquidLib,269,1.31
srvaroa/jbcnconf,21,0.22
ssaarela/javersion,8,1.53
stagemonitor/stagemonitor,7,1.27
stewsters/stewsters-util,4,1.23
structlogging/structlogger,55,1.04
sujanctg2005/test-project,1,1.63
Swrve/rate-limited-logger,3,4.58
taichi/jmh-gradle-ide,3,0.96
taichi/json-benchmarks,47,0.97
takari/bpm,3,3.3
tallerjavaunicen/TallerJava,3,1.04
taojiaenx/netty-source-study,32,1.2
tdunning/t-digest-benchmark,4,0.46
Techcable/Event4J,3,0.35
TechEmpower/misc,4,0.7
tempredirect/GeoFun,4,0.09
terma/fast-select,48,0.33
terma/mutable-fast-select,4,0.34
thaibui/algorithms-core,35,1.9
thejotta/CloudSimPlusModificado,3,0.82
thesmythgroup/SiftXml,3,0.64
ThomasKrieger/benchmarks,21,3.51
ThreeTen/threeten-bench,11,1.1
thymeleaf/thymeleaf-benchmarks,20,1.16
tinyj/tinyj-lazy,4,0.57
titorenko/quick-csv-streamer,5,0.3
tkowalcz/openjdk-jmh,6,0.08
tkowalcz/presentations,8,0.44
tmontgomery/nuklei,4,0.16
tobijdc/PRNG-Performance,21,2.72
togglz/togglz,15,2.84
tommyettinger/sarong,407,1.31
tomwhoiscontrary/sarcoptic,4,1.17
tootedom/herdcache,4,1.43
tramchamploo/buffer-slayer,15,0.41
traneio/future,90,1.75
trautonen/logback-ext,2,0.68
TridentSDK/Trident,8,3.24
TridentSDK/TridentSDK,1,1.4
TU-Berlin-SNET/tresor-pdp-caching,18,0.25
tudorv91/SparkJNI,2,0.25
tweakers-dev/objectpool-benchmarks,6,0.13
twitter/hpack,2,4.19
txazo/java,6,2.76
tzaeschke/distributed-phtree,26,1.98
uber/h3-java,18,2.3
uber/tchannel-java,3,2.2
uchuhimo/kotlin-playground,2,0.2
udoprog/scribe,1,1.37
udoprog/tiny-async-java,16,0.12
udoprog/tiny-serializer-java,18,1.55
uliashkevich/native-struct,7,0.14
user405/test,3,0.72
uujava/cqengine-query-jmh,31,0.22
Vanilla-Java/Microservices,1,1.0
Vedenin/java_in_examples,49,0.37
vgalloy/autocatch,14,0.91
vibneiro/dispatching,15,0.17
victor-cr/template-text-parser,4,0.05
victor-cr/threadlocal-benchmark,18,0.12
vietj/reactive-pg-client,9,2.22
virsox/cepsim,2,0.58
vladimir-bukhtoyarov/bucket4j,9,2.27
vladimir-bukhtoyarov/rolling-metrics,57,2.7
vladimirdolzhenko/gflogger,9,1.91
vladimirdolzhenko/hashCodeLegend,15,0.38
vlsi/compactmap,9,0.99
volkodava/disruptor-benchmark-tests,1,0.12
volodarsky/zephyr-benchmark,10,0.08
volodin-aa/openjdk-benchmark,12,0.08
vongosling/jvm-serializer,5,0.44
vsch/flexmark-java,4,3.17
vsonnier/hppcrt,28,1.01
waffle/waffle,2,1.29
wavesoftware/java-eid-exceptions,9,2.16
wenerme/seq,2,0.15
wesamhaboush/furmat,5,0.1
wesleyegberto/courses-projects,2,3.29
whitingjr/batch-rewrite-statements-perf,6,0.13
willhaben/blog,5,1.63
witi83/jmh-primitive-data-types,6,0.18
witi83/jmh-streams,3,0.15
wondee/faststring,8,0.37
Workiva/frugal,1,3.11
wotifgroup/wotif-logutils,1,0.3
x-stream/xstream,18,1.18
xiajunsongfan/scud,1,2.77
xzy256/grpc-java-mips64,15,1.18
y-lan/presto,27,1.73
yanchith/pattern,11,2.27
yandex/yoctodb,18,0.87
yshahun/probabilistic-util,3,0.19
yulang/Modified-Parquet,14,1.56
Zappos/zappos-json,8,0.05
zzuhtzy/okio-source-read,11,1.75
