"project","benchmarkName","numberOfChanges"
"acisternino/narjillos-math-bench","org.nusco.narjillos.jmh.FastMathBenchmark.baselineCos","0"
"acisternino/narjillos-math-bench","org.nusco.narjillos.jmh.FastMathBenchmark.fastMathCos","0"
"acisternino/narjillos-math-bench","org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","0"
"acisternino/narjillos-math-bench","org.nusco.narjillos.jmh.FastMathBenchmark.fastMathAtan","0"
"acisternino/narjillos-math-bench","org.nusco.narjillos.jmh.FastMathAtan2Benchmark.baselineAtan2","0"
"acisternino/narjillos-math-bench","org.nusco.narjillos.jmh.FastMathAtan2Benchmark.narjillosFastMathAtan2","0"
"acisternino/narjillos-math-bench","org.nusco.narjillos.jmh.FastMathAtan2Benchmark.commonsFastMathAtan2","0"
"acisternino/narjillos-math-bench","org.nusco.narjillos.jmh.FastMathSinCosBenchmark.baselineSin","0"
"acisternino/narjillos-math-bench","org.nusco.narjillos.jmh.FastMathSinCosBenchmark.narjillosFastMathSin","0"
"acisternino/narjillos-math-bench","org.nusco.narjillos.jmh.FastMathSinCosBenchmark.commonsFastMathSin","0"
"acisternino/narjillos-math-bench","org.nusco.narjillos.jmh.FastMathSinCosBenchmark.baselineCos","0"
"acisternino/narjillos-math-bench","org.nusco.narjillos.jmh.FastMathSinCosBenchmark.narjillosFastMathCos","0"
"acisternino/narjillos-math-bench","org.nusco.narjillos.jmh.FastMathSinCosBenchmark.commonsFastMathCos","0"
"addthis/basis","com.addthis.basis.util.BitReversals.reverseJdk","0"
"addthis/basis","com.addthis.basis.util.BitReversals.reverseBasis","0"
"addthis/basis","com.addthis.basis.util.BitReversals.stackReverse","0"
"addthis/basis","com.addthis.basis.util.BitReversals.stanfordParallelReverse","0"
"addthis/basis","com.addthis.basis.util.BitReversals.stanfordSevenOpReverse","0"
"addthis/basis","com.addthis.basis.util.BitReversals.stanfordMultiplyReverse","0"
"addthis/basis","com.addthis.basis.util.BitReversals.loopReverse","0"
"addthis/basis","com.addthis.basis.chars.CharSeqOnlyIter$AbstractCharSeqBench.iterateString","0"
"addthis/basis","com.addthis.basis.chars.CharSeqIterAndEncode$AbstractCharSeqBench.iterateString","0"
"addthis/codec","com.addthis.basis.chars.CharSeqAbstractExample$AbstractCharSeqBench.iterateString","0"
"addthis/codec","com.addthis.basis.util.BitReversalExample.reverseJdk","0"
"addthis/codec","com.addthis.basis.util.BitReversalExample.reverseBasis","0"
"addthis/codec","com.addthis.basis.util.BitReversalExample.stackReverse","0"
"addthis/codec","com.addthis.basis.util.BitReversalExample.stanfordParallelReverse","0"
"addthis/codec","com.addthis.basis.util.BitReversalExample.stanfordSevenOpReverse","0"
"addthis/codec","com.addthis.basis.util.BitReversalExample.stanfordMultiplyReverse","0"
"addthis/codec","com.addthis.basis.util.BitReversalExample.loopReverse","0"
"addthis/codec","com.addthis.codec.reflection.ReflectOps.reflectCheckArray","0"
"addthis/codec","com.addthis.codec.reflection.ReflectOps.infoCheckArray","0"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.Jackson.jsonUnmashal","0"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.Jackson.jsonMashal","0"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.ExceptionsBenchMark.throwRuntimeException","0"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.DynamicLanguages.groovy","0"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.RegularExpressions.validateEmail","0"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.GeneratePrimeNumbersWithForLoop.generatePrime","0"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.MicroBenchMarks.deadCodeElimination","0"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.MicroBenchMarks.noDeadCodeElimination","0"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.MicroBenchMarks.calculateLogPiCodeElimination","0"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.MicroBenchMarks.calculateLogPi","0"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.MicroBenchMarks.loopThatCanBeUnrolled","0"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.MicroBenchMarks.manualUnrollOfLoop","0"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.MicroBenchMarks.arrayListForeach","0"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.MicroBenchMarks.arrayListIterator","0"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.GeneratePoiWorkBook.generatePoiWorkBook","0"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.Reflection.withoutReflection","0"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.Reflection.doReflection","0"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.Jackson.xmlMashalJackson","0"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.Jackson.xmlUnmashalJackson","0"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.Jackson.xmlMashalJacksonStatic","0"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.Jackson.xmlUnmashalJacksonStatic","0"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.JaxbMashalUnMashal.mashal","0"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.JaxbMashalUnMashal.mashalStatic","0"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.JaxbMashalUnMashal.unmashal","0"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.JaxbMashalUnMashal.unmashalStatic","0"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.GeneratePoiWorkBook.generatePoiXLSWorkBook","0"
"AdoptOpenJDK/vmbenchmarks","com.github.vmbenchmarks.GeneratePoiWorkBook.generatePoiXLSXWorkBook","0"
"afdw/fastcloud","com.anton.fastcloud.perf.PerfContinuousBuffer.test","0"
"afdw/fastcloud","com.anton.fastcloud.perf.PerfSerialization.serialize","0"
"afredlyj/learn-netty","io.netty.microbench.buffer.ByteBufAllocatorBenchmark.unpooledHeapAllocAndFree","0"
"afredlyj/learn-netty","io.netty.microbench.buffer.ByteBufAllocatorBenchmark.unpooledDirectAllocAndFree","0"
"afredlyj/learn-netty","io.netty.microbench.buffer.ByteBufAllocatorBenchmark.pooledHeapAllocAndFree","0"
"afredlyj/learn-netty","io.netty.microbench.buffer.ByteBufAllocatorBenchmark.pooledDirectAllocAndFree","0"
"afredlyj/learn-netty","io.netty.microbench.buffer.ByteBufAllocatorBenchmark.defaultPooledHeapAllocAndFree","0"
"afredlyj/learn-netty","io.netty.microbench.buffer.ByteBufAllocatorBenchmark.defaultPooledDirectAllocAndFree","0"
"afredlyj/learn-netty","io.netty.microbench.buffer.SwappedByteBufBenchmark.swappedByteBufSetInt","0"
"afredlyj/learn-netty","io.netty.microbench.buffer.SwappedByteBufBenchmark.swappedByteBufSetShort","0"
"afredlyj/learn-netty","io.netty.microbench.buffer.SwappedByteBufBenchmark.swappedByteBufSetLong","0"
"afredlyj/learn-netty","io.netty.microbench.buffer.SwappedByteBufBenchmark.unsafeSwappedByteBufSetInt","0"
"afredlyj/learn-netty","io.netty.microbench.buffer.SwappedByteBufBenchmark.unsafeSwappedByteBufSetShort","0"
"afredlyj/learn-netty","io.netty.microbench.buffer.SwappedByteBufBenchmark.unsafeSwappedByteBufSetLong","0"
"afredlyj/learn-netty","io.netty.microbench.concurrent.FastThreadLocalBenchmark.jdkThreadLocalGet","0"
"afredlyj/learn-netty","io.netty.microbench.concurrent.FastThreadLocalBenchmark.fastThreadLocal","0"
"afredlyj/learn-netty","io.netty.microbench.internal.RecyclableArrayListBenchmark.recycleSameThread","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.ProxyTest.proxy","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.ProxyTest.proxy0","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.HashStructTest.testInsertion","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.HashStructTest.testRAetrieval","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.HashStructTest.testRBemoval","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.HashStructTest.testInsertion0","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.HashStructTest.testRAetrieval0","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.HashStructTest.testRBemoval0","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.HashBenchmark.atroll","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.HashBenchmark.java","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.HashBenchmark.murmur","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.ReflectVsNormal.NormalInvoke","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.ReflectVsNormal.ReflectInvoke","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.FactoryVsCache.cache","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.FactoryVsCache.factory","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.EventTest.aRegister","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.EventTest.bCall","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.SynchronizationTest.synchedMap","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.SynchronizationTest.synchSynchedMap","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.SetStructTest.testInsertion","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.SetStructTest.testInsertion0","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.SetStructTest.testRemoval","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.SetStructTest.testRemoval0","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.UnsafeProviderTest.getUnsafe","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.UnsafeProviderTest.getUnsafe0","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.AtomicVsVolatile.readVol","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.AtomicVsVolatile.writeVol","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.AtomicVsVolatile.readAto","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.AtomicVsVolatile.writeAto","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.AtomicVsVolatile.writeAto0","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.AtomicVsVolatile.readUnsafe","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.AtomicVsVolatile.readReg","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.AtomicVsVolatile.writeReg","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.AtomicVsVolatile.writeUnsafe","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.AtomicVsVolatile.writeUnsafe0","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.LockBenchmark.synched","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.LockBenchmark.rlock","0"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.LockBenchmark.internal","0"
"airlift/aircompressor","io.airlift.compress.DecompressBenchmark.blockAirliftSnappy","0"
"airlift/aircompressor","io.airlift.compress.DecompressBenchmark.blockXerialSnappy","0"
"airlift/aircompressor","io.airlift.compress.DecompressBenchmark.streamAirliftSnappy","0"
"airlift/aircompressor","io.airlift.compress.DecompressBenchmark.streamHadoopSnappy","0"
"airlift/aircompressor","io.airlift.compress.benchmark.CompressionBenchmark.compress","0"
"airlift/aircompressor","io.airlift.compress.benchmark.CompressionBenchmark.decompress","0"
"airlift/aircompressor","io.airlift.compress.lz4.BenchmarkCount.count","0"
"airlift/airlift","io.airlift.stats.cardinality.BenchmarkSparseHll.benchmarkInsert","0"
"airlift/airlift","io.airlift.stats.cardinality.BenchmarkDenseHll.benchmarkInsert","0"
"airlift/airlift","io.airlift.stats.BenchmarkQuantileDigest.benchmarkInserts","0"
"airlift/airlift","io.airlift.stats.BenchmarkQuantileDigest.benchmarkCopy","0"
"airlift/airlift","io.airlift.stats.BenchmarkQuantileDigest.benchmarkMerge","0"
"airlift/airlift","io.airlift.concurrent.BenchmarkWhenAnyCompleteCancelOthers.benchmark","0"
"airlift/airlift","io.airlift.stats.BenchmarkQuantileDigest.benchmarkDeserialize","0"
"airlift/airlift","io.airlift.stats.BenchmarkQuantileDigest.benchmarkSerialize","0"
"airlift/airlift","io.airlift.stats.BenchmarkQuantileDigest.benchmarkHistogram","0"
"airlift/slice","io.airlift.slice.MemoryCopyBenchmark.b00sliceZero","0"
"airlift/slice","io.airlift.slice.MemoryCopyBenchmark.b01customLoopZero","0"
"airlift/slice","io.airlift.slice.MemoryCopyBenchmark.b02unsafeZero","0"
"airlift/slice","io.airlift.slice.MemoryCopyBenchmark.b03slice32B","0"
"airlift/slice","io.airlift.slice.MemoryCopyBenchmark.b04customLoop32B","0"
"airlift/slice","io.airlift.slice.MemoryCopyBenchmark.b05unsafe32B","0"
"airlift/slice","io.airlift.slice.MemoryCopyBenchmark.b06slice128B","0"
"airlift/slice","io.airlift.slice.MemoryCopyBenchmark.b07customLoop128B","0"
"airlift/slice","io.airlift.slice.MemoryCopyBenchmark.b08unsafe128B","0"
"airlift/slice","io.airlift.slice.MemoryCopyBenchmark.b09slice512B","0"
"airlift/slice","io.airlift.slice.MemoryCopyBenchmark.b10customLoop512B","0"
"airlift/slice","io.airlift.slice.MemoryCopyBenchmark.b11unsafe512B","0"
"airlift/slice","io.airlift.slice.MemoryCopyBenchmark.b12slice1K","0"
"airlift/slice","io.airlift.slice.MemoryCopyBenchmark.b13customLoop1K","0"
"airlift/slice","io.airlift.slice.MemoryCopyBenchmark.b14unsafe1K","0"
"airlift/slice","io.airlift.slice.MemoryCopyBenchmark.b15slice1M","0"
"airlift/slice","io.airlift.slice.MemoryCopyBenchmark.b16customLoop1M","0"
"airlift/slice","io.airlift.slice.MemoryCopyBenchmark.b17unsafe1M","0"
"airlift/slice","io.airlift.slice.MemoryCopyBenchmark.b18slice128M","0"
"airlift/slice","io.airlift.slice.MemoryCopyBenchmark.b19customLoop128M","0"
"airlift/slice","io.airlift.slice.MemoryCopyBenchmark.b20unsafe128M","0"
"airlift/slice","io.airlift.slice.BenchmarkHashCode.hash","0"
"airlift/slice","io.airlift.slice.BenchmarkMurmur3.hash64","0"
"airlift/slice","io.airlift.slice.BenchmarkMurmur3.hash","0"
"airlift/slice","io.airlift.slice.BenchmarkMurmur3.guava","0"
"airlift/slice","io.airlift.slice.BenchmarkMurmur3.specializedHashLong","0"
"airlift/slice","io.airlift.slice.BenchmarkMurmur3.hashLong","0"
"airlift/slice","io.airlift.slice.BenchmarkXxHash64.xxhash64","0"
"airlift/slice","io.airlift.slice.BenchmarkXxHash64.specializedHashLong","0"
"airlift/slice","io.airlift.slice.BenchmarkMurmur3Hash32.hash","0"
"airlift/slice","io.airlift.slice.BenchmarkMurmur3Hash32.guava","0"
"airlift/slice","io.airlift.slice.BenchmarkMurmur3Hash32.specializedHashInt","0"
"airlift/slice","io.airlift.slice.BenchmarkMurmur3Hash32.hashInt","0"
"airlift/slice","io.airlift.slice.BenchmarkMurmur3Hash32.specializedHashLong","0"
"airlift/slice","io.airlift.slice.BenchmarkMurmur3Hash32.hashLong","0"
"airlift/slice","io.airlift.slice.BenchmarkMurmur3Hash128.hash64","0"
"airlift/slice","io.airlift.slice.BenchmarkMurmur3Hash128.hash","0"
"airlift/slice","io.airlift.slice.BenchmarkMurmur3Hash128.guava","0"
"airlift/slice","io.airlift.slice.BenchmarkMurmur3Hash128.specializedHashLong","0"
"airlift/slice","io.airlift.slice.BenchmarkMurmur3Hash128.hashLong","0"
"airlift/slice","io.airlift.slice.SliceUtf8Benchmark.benchmarkLengthOfCodePointFromStartByte","0"
"airlift/slice","io.airlift.slice.SliceUtf8Benchmark.benchmarkCountCodePoints","0"
"airlift/slice","io.airlift.slice.SliceUtf8Benchmark.benchmarkOffsetByCodePoints","0"
"airlift/slice","io.airlift.slice.SliceUtf8Benchmark.benchmarkSubstring","0"
"airlift/slice","io.airlift.slice.SliceUtf8Benchmark.benchmarkReverse","0"
"airlift/slice","io.airlift.slice.SliceUtf8Benchmark.benchmarkToLowerCase","0"
"airlift/slice","io.airlift.slice.SliceUtf8Benchmark.benchmarkToUpperCase","0"
"airlift/slice","io.airlift.slice.SliceUtf8Benchmark.benchmarkLeftTrim","0"
"airlift/slice","io.airlift.slice.SliceUtf8Benchmark.benchmarkRightTrim","0"
"airlift/slice","io.airlift.slice.SliceUtf8Benchmark.benchmarkTrim","0"
"airlift/slice","io.airlift.slice.BenchmarkSlice.compareTo","0"
"airlift/slice","io.airlift.slice.BenchmarkSlice.equalsUnchecked","0"
"airlift/slice","io.airlift.slice.BenchmarkSlice.equalsObject","0"
"aitusoftware/flute","com.aitusoftware.flute.client.benchmark.RecordingBenchmark.baseline","0"
"aitusoftware/flute","com.aitusoftware.flute.client.benchmark.RecordingBenchmark.timed","0"
"Ajeet-Ganga/howToGuide","com.test.test2.HashTableVSHashMap.useHashmap","0"
"Ajeet-Ganga/howToGuide","com.test.test2.HashTableVSHashMap.useHashtable","0"
"Ajeet-Ganga/howToGuide","MyBenchmark.testGson","0"
"Ajeet-Ganga/howToGuide","MyBenchmark.testJackson","0"
"Ajeet-Ganga/howToGuide","MyBenchmark.oneMilliSecondOp","0"
"akarnokd/akarnokd-misc","hu.akarnokd.queue.SpscIntArrayQueuePerf.offerPollPrimitive","0"
"akarnokd/akarnokd-misc","hu.akarnokd.queue.SpscIntArrayQueuePerf.offerCapacityPrimitive","0"
"akarnokd/akarnokd-misc","hu.akarnokd.queue.SpscIntArrayQueueXPerf.send1","0"
"akarnokd/akarnokd-misc","hu.akarnokd.queue.SpscIntArrayQueueXPerf.recv1","0"
"akarnokd/akarnokd-misc","hu.akarnokd.queue.SpscIntArrayQueueXPerf.send3","0"
"akarnokd/akarnokd-misc","hu.akarnokd.queue.SpscIntArrayQueueXPerf.recv3","0"
"akarnokd/akarnokd-misc","hu.akarnokd.queue.SpscIntArrayQueueXPerf.send4","0"
"akarnokd/akarnokd-misc","hu.akarnokd.queue.SpscIntArrayQueueXPerf.recv4","0"
"akarnokd/akarnokd-misc","hu.akarnokd.queue.SpscIntArrayQueueXPerf.send2","0"
"akarnokd/akarnokd-misc","hu.akarnokd.queue.SpscIntArrayQueueXPerf.recv2","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ReactiveStreamsImpls.rxRange","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ReactiveStreamsImpls.rxRangeFlatMapJust","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ReactiveStreamsImpls.rxRangeFlatMapRange","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.StreamVsRxJava.rx2Parallel2b","0"
"akarnokd/akarnokd-misc","hu.akarnokd.queue.MpscLinkedArrayQueueXPerf.send1","0"
"akarnokd/akarnokd-misc","hu.akarnokd.queue.MpscLinkedArrayQueueXPerf.recv1","0"
"akarnokd/akarnokd-misc","hu.akarnokd.queue.MpscLinkedArrayQueueXPerf.send2","0"
"akarnokd/akarnokd-misc","hu.akarnokd.queue.MpscLinkedArrayQueueXPerf.recv2","0"
"akarnokd/akarnokd-misc","hu.akarnokd.queue.MpscLinkedArrayQueueXPerf.send3","0"
"akarnokd/akarnokd-misc","hu.akarnokd.queue.MpscLinkedArrayQueueXPerf.recv3","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ReactiveStreamsImpls.rxRangeAsync","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ReactiveStreamsImpls.rxRangePipeline","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ReactiveStreamsImpls.rx2Range","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ReactiveStreamsImpls.rx2RangeFlatMapJust","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ReactiveStreamsImpls.rx2RangeFlatMapRange","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ReactiveStreamsImpls.rx2RangeAsync","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ReactiveStreamsImpls.rx2RangePipeline","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ReactiveStreamsImpls.raRange","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ReactiveStreamsImpls.raRangeFlatMapJust","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ReactiveStreamsImpls.raRangeFlatMapRange","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ReactiveStreamsImpls.raRangeAsync","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ReactiveStreamsImpls.raRangePipeline","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ZipPerf.baseline","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ZipPerf.syncSync","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ZipPerf.syncAsync","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ZipPerf.asyncSync","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ZipPerf.asyncAsync","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ObservableFlatMapPerf.baseline","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ObservableFlatMapPerf.justFlatMapRange","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ObservableFlatMapPerf.justFlatMapArray","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ObservableFlatMapPerf.rangeFlatMapJust","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ObservableFlatMapPerf.justFlatMapJust","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ObservableFlatMapPerf.rangeFlatMapRange","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ObservableFlatMapPerf.rangeFlatMapArray","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.PublisherFlatMapPerf.baseline","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.PublisherFlatMapPerf.justFlatMapRange","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.PublisherFlatMapPerf.justFlatMapArray","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.PublisherFlatMapPerf.rangeFlatMapJust","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.PublisherFlatMapPerf.justFlatMapJust","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.PublisherFlatMapPerf.rangeFlatMapRange","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.PublisherFlatMapPerf.rangeFlatMapArray","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ShakespearePlaysScrabbleWithRscOpt.measureThroughput","1"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ShakespearePlaysScrabbleWithReactor25Opt.measureThroughput","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ShakespearePlaysScrabbleWithReactor25.measureThroughput","0"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ShakespearePlaysScrabbleWithStreams.measureThroughput","0"
